a-vorto; adjective
bedo; bed, flower bed, plot
bedueno; Beduin <g>pers</g>, Bedouin <g>pers</g>
begoniacoj; begonias
begonio; begonia
bekfluto; recorder
beki; peck, pick
beko; bill, beak
bekvadrato; natural symbol
bela; beautiful, pretty, fine, handsome, lovely, marvellous, nice
beladono; devils cherry, belladonna, devil's cherry, deadly nightshade
belarto; art
belaĵo; beautiful sight
bele; loverly, marvelously, marvellous, beautifully, fine
beleco; beauty
belega; lovely, magnificent, gorgeous
belege; greatly
beleta; cute, pretty, nice
beletaĝo; ground floor, main storey, bel étage
belete; nicely
beletraĵo; literary work
beletristiko; belles-lettres
beletristo; man of letters <g>pers</g>, writer, author
beletro; belles lettres, belles-lettres, belle lettres, letters, literature
belfasto; Belfast
belfigura; beautiful
belga; Belgian
belgio; Belgium
belgo; Belgian <g>pers</g>
belgujo; Belgium
beligi; beautify
beliza; Belizian
belizo; Belize
belkreska; beautiful
belo; beauty, bel
belorusa; Belarusian, Byelorussian
belorusio; Belarus, Byelorussia
beloruso; Byelorussian, Belarusian
belsona; euphonious
belulino; beautiful woman, beauty
belvedero; viewing platform, scenic overlook
belvidejo; oriel
belvido; view
belŝmiraĵo; lotion
bemolo; flat symbol, flat
bendo; strip, binding, tape
benediktano; Benedictine <g>pers</g>, Benedictine monk
benedikto; Benedict
benefico; benefit performance, benefit
bengala; Bengal
beni; bless
benina; Beninese
beninano; Beninese <g>pers</g>
benino; Benin
benjeto; doughnut
benketo; small bench, stool
benko; form, bench
beno; blessing, boon
benzeno; benzene
benzinejo; filling station, gas station, petrol station, pump
benzinkruĉo; petrol can, gas can
benzino; petrol, gasoline, benzine
benzinstacio; gas station, filling station, petrol station
benzinujo; gas tank, petrol tank, tank
benzolo; heating oil
benzoo; benzoate
beogrado; Belgrade
beraro; bunch
berbera; Berber
berberiso; berberis, barberry
berbero; Berber <g>pers</g>
bereto; beret
bergamoto; bergamot
beribero; beriberi
berilio; beryllium
berilo; beryl
beringa; Bering Sea, Bering Strait
beringo; Bering <g>pers</g>
berkelio; berkelium
berlina; Berlin
berlinano; Berliner <g>pers</g>
berlino; Berlin
berno; Berne, Bern
bero; berry
berserko; berserk, berserker
besarabio; Bessarabia
besta; bestial, beastly
bestaro; fauna
bestaĉo; monster
besteca; beastly, bestial
bestejo; sty, pen
besteto; little animal
bestkuracisto; veterinarian <g>pers</g>
besto; creature, animal, beast
bestoĝardeno; zoo
beta; beta
beto; beet, beetroot
betoniko; stachys
betono; concrete
betulo; birch
beveli; bevel, round
bevelo; beveled egde
bezoaro; bezoar
bezona; necessary, needed
bezonata; wanted, involved
bezonataĵo; requirement
bezonaĵo; requirement, need, requisite
bezoni; require, need <g>auxto</g>
bezono; need, want
biblia; biblical
biblio; Bible
bibliografia; bibliographic
bibliografio; bibliography
bibliografo; bibliographer <g>pers</g>
bibliotekisto; librarian <g>pers</g>
biblioteko; library
bicikladi; cycle
biciklado; biking, cycling
biciklanto; cyclist, bicyclist
bicikli; cycle, bike, bicycle
biciklisto; cyclist
biciklo; bike, bicycle, cycle
bidaro; beads
bideo; bidet
bido; bead
bienaro; domain
biendomo; mansion, chateau
bienetato; official real estate register, register of title deeds, land register
bienisto; rancher <g>pers</g>, farmer <g>pers</g>
bieno; ranch, farm, property, estate
bienulo; landowner <g>pers</g>, landlord
bierejo; hotel, beer-bar
bierfarejo; brewery
bierglaso; beer glass
biero; beer
bifsteko; beefsteak, steak
bigamio; bigamy
bigamiulo; bigamist <g>pers</g>
bigota; fanatical, hypocritical
bigoteco; intolerance
bigoto; fanatic <g>pers</g>
bijekcia; bijective, one-to-one
bijekcio; biunique correspondence, one-to-one mapping, bijection
bilanca; balance
bilanci; assess, balance, reconcile
bilanco; balance, balance sheet, account
bilardejo; billiards hall, pool hall
bilardo; billiards, billiard
bilboko; cup-and-ball game
bildgrandeco; image size
bildigi; render, describe
bildigilo; renderer
bildigo; description, identity mapping
bildkarto; picture postcard, postcard
bildlibro; picture book
bildmanipulilo; image manipulation program
bildo; image, picture
bildodosiero; image file
bildolibro; album, picture book
bildopunkto; pixel
bildorigardilo; picture viewer
bildprezentilo; image displayer
bildrakonto; comic, graphic novel, comic strip, comic book
bildstrio; comic strip
bildvortaro; picture dictionary
biletkontrolisto; ticket inspector
bileto; bill, ticket, note <g>pers</g>
biliono; trillion
bilmakleristo; stockbroker <g>pers</g>
bilo; negotiable security, negotiable document of value, negotiable instrument, bill
bilĝo; bilge
bimetalismo; bimetallism, double standard
binara; binary
bindaĵo; binding, cover
bindi; bind <f>{past bound} {perf bound}</f>
bindilo; linker, binder, linkage editor
bindisto; binder
bindo; cover, binding
bingo; bingo
binoklo; binoculars
binomo; binomial
biofizikisto; biophysicist
biografia; biographical
biografio; biography
biografo; biographer <g>pers</g>
biologia; biological
biologiisto; biologist <g>pers</g>
biologio; biology
biologo; biologist <g>pers</g>
biomaso; biomass
bioniko; bionics
biontologio; biontology
bioĥemiisto; biochemist <g>pers</g>
bioĥemio; biochemistry
biplano; biplane
birdaro; flock, birds
birdido; fledgling
birdo; bird
birdokorto; barnyard
birdostango; perch
birdotimigilo; scarecrow
bireto; biretta, beret, toque
birma; Burmese
birmo; Burma
bis; encore, one more time, again!, encore!
bisekcanto; bisector, bisectrix
biskvito; biscuit porcelain, biscuit, bisque, cookie, cracker
bismuto; bismuth
bistra; bistre brown
bistro; brown wash, bistre
bisturio; lancet
bito; bit
bitoko; byte
bitumo; bitumen
bivaki; bivouac, camp
bivako; campsite, bivouac
bivo; biwa
bizanca; Byzantine
bizancio; Byzantium
bizanco; Byzantium
bizara; bizarre, weird, odd, strange, eccentric, outlandish, incongruous
bizaraĵo; incongruity
bizareco; incongruity
bizari; be bizarre
bizono; bison, buffalo
blagi; kid, pull someone's leg, pull someone's leg, talk tongue in cheek, tease
blago; blarney, nonsense, humbug, fib, bunk, sly joke
blanka; blank, white
blankarda; ashen
blankaĵo; white, blank
blanketa; blank
blanketo; carte blanche, blank cheque
blankigi; whitewash, make white, whiten, bleach
blankiĝi; bleach
blanko; white <g>pers</g>
blankula; white
blankulo; white, European <g>pers</g>, white man <g>pers</g>
blasfema; blasphemous
blasfemado; swearing
blasfemi; curse, swear <f>{past swore} {perf sworn}</f>, blaspheme, cuss
blasfemo; curse, blasphemy
blasfemulo; blasphemer
blato; chip, cockroach
blazono; coat of arms, blazon, symbol
blazonŝildo; heraldic shield, escutcheon
blekado; outcry
blekegi; bellow
blekego; howl
bleki; jabber, bellow, neigh, bleat
bleko; animal sound, cry
blendi; armour
blenoragio; gonorrhoea
blinda; blind
blinde; blindly
blindeco; blindness
blindigi; dazzle
blindulo; blind, sightless person
blindumi; dazzle
blogo; blog
blokado; blockade, freezing
bloki; jam, corner, blockade, block
bloko; block, pad, jam, chunk, bloc
blonda; blonde, blond, fair
blondhara; blond
blondulino; blonde
blovado; blowing, gale
blovego; blast
bloveksciti; stir up
bloveti; waft
blovi; blow <f>{past blew} {perf blown}</f>
blovinstrumento; wind instrument
blovo; blast
blua; Chang Jiang, blue, Yangtze Kiang
blufi; bluff
blufo; bluff
bluo; blue
bluso; blues
bluzo; blouse
boaco; caribou, reindeer
boao; boa
boardi; tack, manoeuvre
boato; boat
bobelo; bubble
bobeni; wind <f>{past wound} {perf wound}</f>, reel
bobeno; spool, coil, bobbin
bocvano; Botswana, Bechuanaland
bofilino; daughter-in-law <g>pers</g>
bofilo; son-in-law <g>pers</g>
bofratino; sister-in-law <g>pers</g>
bofrato; brother-in-law <g>pers</g>
bojadi; bark
bojado; barking
bojeti; yelp
boji; bark
bojkoti; boycott
bojkoto; boycott
bojo; bark
bokalo; bowl, jar
boksado; boxing
boksi; fight, box
boksisto; boxer <g>pers</g>
bokso; pugilism, boxing
bolanta; hot
bolardo; mooring-post, bollard
boli; boil, seethe, heave
bolido; bolide
boligi; boil
boligilo; boiler, kettle
bolilo; kettle
bolivia; Bolivian
bolivio; Bolivia
bolkruĉo; kettle
bolti; bolt
boltingo; nut
bolto; bolt
boluso; bolus
bolŝevika; Bolshevik, bolshevist (adj.)
bolŝeviko; Bolshevik <g>pers</g>
bolŝevisto; Bolshevik <g>pers</g>
bombadi; bombard, bomb
bombado; raid, bombardment, bombing
bombardi; bombard, bomb
bombardo; barrage, bombardment
bombasta; inflated, turgid, pretentious, showy, bombastic
bombasto; bombast, pumping
bombatenco; bombing
bombaviadilo; bomber
bombi; bomb
bombiksedoj; Bombycidae
bombo; bomb
bombokanono; mortar
bombono; bonbon, sweet <g>pers</g>, piece of candy, candy
bombopafilo; mortar
bona; good <f>{komp better} {sup best}</f>, okay, nice, ok, fine
bonaero; Buenos Aires
bonaordo; well-ordering
bonaspekta; handsome, good-looking
bonaŭgura; of good omen
bonaĵo; something good, advantage
bondeziri; extend good wishes
bone; okay, OK, well <f>{komp better} {sup best}</f>, all right, alright, good, fine
boneco; goodness
bonefika; salutary
bonega; great, fine, superb, excellent
bonege; fine, very well, superbly
bonfama; reputable, of good repute
bonfara; benevolent, charitable, humanitarian
bonfarado; charity
bonfaranto; benefactor
bonfarema; humanitarian
bonfaro; welfare, boon
bonfarta; safe
bonfarte; well
bonfarti; be well, feel fine
bonfarto; welfare, well-being, sake
bongusta; delicious, tasty, nice
bongusto; good taste
bonhava; affluent, in easy circumstances, well-to-do, well to do, well off
bonhaveca; expensive
bonhaveco; prosperity
bonhavo; money, credit, assets
bonhumora; gay, merry, cheerful
bonhumore; cheerfully
bonifiko; perk
bonigi; make good, improve
bonintenca; well-intentioned
boniĝi; become good
bonkonduta; sweet, good
bonkora; cordial, kind, good-hearted
bonkore; kindly
bonkoreco; kindness
bonkvalita; high-quality
bonmaniera; well-mannered, polite, courteous
bono; good <f>{komp better} {sup best}</f>
bonodora; nutty, fragrant, good-smelling
bonodoro; nice smell, sweet smell, fragrance
bonokaze; luckily
bonorda; trim, tidy, neat, orderly
bonorde; alright, neatly, orderly
bonordo; order
bonrikolta; fruitful
bonsorta; lucky, fortunate, fortuitous
bonstata; in good condition, affluent
bonstato; prosperity, well-being
bonteni; maintain
bontona; well-mannered, decent
bontono; etiquette
bontrovo; pleasure
bonulo; nice guy
bonvena; welcome
bonveni; welcome
bonvenigi; welcome
bonvenigo; greeting, salutation
bonveno; welcome
bonvola; cordial, benign
bonvole; kindly
bonvoli; please, be so kind as to
bonvolo; benevolence, good will, goodwill
bonzo; bonze
bonŝanca; fortunate
bonŝance; by a stroke of good luck, fortunately
bonŝanco; luck
boparenco; in-law
bopatrino; mother-in-law <g>pers</g>
bopatro; father-in-law <g>pers</g>
borago; borage
borakso; borax
boraĵo; bore
bordelanino; prostitute
bordelo; brothel, bordello
bordera; border
borderi; border
borderlinio; border line
bordero; border
bordo; edge, border, bank, shore
borela; Borel['s], Borel['s], Borel[s]
borelo; Borel
bori; bore, drill, bear
borilo; bore <g>pers</g>, drill
boro; boron
borso; stock exchange, market, stock market, money market, bourse
bortruo; bore, drill-hole, borehole
bosko; wood, grove, copse
bosna; Bosnian
bosnio; Bosnia
bosno; Bosnian
bosono; boson
botanika; botanical
botanikaĝardeno; botanical garden
botaniko; botany
botaŭro; bittern
botelego; jar
botelkolo; bottleneck
botelo; bottle
boteto; booty
boto; boot
bovaĵo; beef
bovedoj; bovids
bovidaĵo; veal
bovido; calf
bovino; cow
bovisto; Boötes
bovlo; bowl
bovo; bovine, bovine animal, cow, Taurus
boĝio; truck, bogie
brabanta; Brabantine
braceleto; bracelet, bangle
brajli; haul up, draw in, brail
brajlo; Braille <g>pers</g>
brakhorloĝo; wrist-watch, watch
brako; arm
brakringo; bracelet, bangle
brakseĝo; armchair
brakteo; bract
brakumi; embrace, hug
brakumo; hug, embrace
bramo; topgallant mast, bream
brando; brandy, liquor
brankardo; stretcher
branko; gill
brano; bran
branpano; whole-grain bread
branĉeto; twig
branĉo; bough, branch
brasiko; cabbage
brava; brave, gallant, valiant, worthy
bravaĉa; impudent
bravaĉo; impudence
bravaĵo; exploit
brave; fine
braveco; valour
bravega; excellent
bravulo; able man, fine fellow
brazila; Brazilian
brazilano; Brazilian <g>pers</g>
brazilo; Brazil
braĝo; charcoal
bredado; breeding, farming
bredi; rather, breed <f>{past bred} {perf bred}</f>, keep <f>{past kept} {perf kept}</f>, raise
bredisto; breeder <g>pers</g>
breloko; trinket, charm (trinket)
bremsado; checking
bremsi; brake
bremso; brake
bretaro; cabinet, shelves, bookcase, etagere, shelving
breto; shelf
bretono; Breton <g>pers</g>
breviero; breviary
breĉetigi; notch
breĉeto; notch
breĉi; breach
breĉo; gap, breach
bridado; control
bridi; manage, restrain, bridle, check, tame
brido; restraint, check, restraints, bridle
brigado; brigade, crew
brigo; brig
brika; brick
briketo; block, briquette, bar
briko; brick
brila; brilliant, bright, glossy, shiny
brileco; brightness
brilega; brilliant
brilego; glare
briletado; glitter, sparkle
brileti; sparkle, twinkle
brileto; glimmer
brili; beam, glow, glisten, shine <f>{past shone} {perf shone}</f>, bright
brilianto; fine-cut gem, brilliant
brilo; sheen, gloss, shine, luster, glow
brilpura; sparkling clean
brita; British Islands, British
britio; Great Britain, Britain, the United Kingdom, UK, the UK, United Kingdom
brito; British, Briton <g>pers</g>
britujo; Great Britain
brizo; breeze
briĝo; bridge
brodado; embroidery
brodaĵo; embroidery
brodi; embroider
brodteksi; brocade
brogi; scald
brokanta; second-hand
brokantaĵo; second-hand good, used product, used merchandise, second-hand item
brokante; secondhand
brokanti; deal in second-hand goods
brokantisto; second-hand dealer, buyer and seller of used products, dealer in second-hand goods
brokolo; broccoli
bromo; bromine
bronkito; bronchitis
bronko; bronchial tube, bronchus
bronza; bronze
bronzaĵo; bronze
bronzepoko; bronze age
bronzi; bronze
bronzo; bronze
brosi; brush
broso; brush
brovo; eyebrow, brow
broŝuro; paperback, pamphlet, leaflet, booklet, brochure
broĉo; brooch
brua; noisy
bruaĉo; row
brue; noisily
bruegado; fuss
bruegi; crash, blare
bruego; fuss, din, loud noise
brufermi; bang
brui; make a noise, noisy
brula; burning, searing
brulado; combustion
brulaĵo; fuel
bruldifekti; burn <f>{past burned} {perf burned}</f>, scorch
bruldifektiĝi; burn
brulebla; combustible
brulego; inferno
brulema; flammable, volatile, combustible, inflammable
brulestingisto; fireman
bruleti; smoulder
bruletigi; sear
brulgusta; burnt
bruli; burn <f>{past burned} {perf burned}</f>
bruliga; incendiary
bruligado; combustion
bruligaĵo; fuel
bruligebla; combustible
bruligi; burn <f>{past burned} {perf burned}</f>, sear
bruligo; lighting
brulilo; burner
brulimuna; fire-proof, incombustible
brulligno; firewood
brulmarki; brand
brulmarkilo; branding iron
brulmarko; brand
brulo; combustion
brulofero; burnt offering
brulstampaĵo; brand
brulstampi; brand
brulumo; inflammation
brulvundi; burn <f>{past burned} {perf burned}</f>
brulvundiĝi; burn
brulvundo; burn, burning
brulŝtiparo; faggot <g>pers</g>
bruna; brown
bruneja; Bruneian
brunejo; Brunei
brunhara; brunette
bruno; brown
bruo; ado, noise, din
brusela; Brussels
bruselo; Brussels
bruska; abrupt, sharp
bruske; sharply
bruskeco; rudeness
brustangoro; angina pectoris
brusto; bosom, breast, chest
bruta; brute, harsh
brutala; brutal, vicious
brutalaĵo; brutality
brutale; brutally
brutaleco; violence, brutality
brutaro; cattle, livestock, flock
brutece; brutally
brutejo; barn
brutigi; degrade, dull
brutisto; farmer
bruto; animal, brute, head of cattle
brutulo; thug, barbarian
bruĝo; Bruges
bubalo; buffalo
bubaĉo; naughty boy, pickle, brat
bubaĵo; prank
bubo; jack, urchin <g>pers</g>, brat <g>pers</g>
budaano; buddhist <g>pers</g>
budaismo; Buddhism
budaisto; buddhist <g>pers</g>
budao; Buddha <g>pers</g>
budapeŝto; Budapest
budeto; box
budhano; buddhist <g>pers</g>
budhisma; Buddhist
budhismo; buddhism
budhisto; buddhist <g>pers</g>
budho; buddha <g>pers</g>
budo; stand, barn, shed, booth, kiosk, cabana, stall
buduaro; boudoir
budĝeto; budget
bufedejo; barroom
bufedo; buffet
bufo; toad
bufoni; fool
bufono; wildcard, idiot
bufri; buffer
bufro; fender, bumper, buffer
bukdorno; buckle pin
bukedo; bouquet
buki; buckle, fasten
bukla; curly, loopy
bukli; curl
buklilo; curler
buklo; curl, lock
buko; buckle
bukso; boxwood, box (tree)
bula; boolean
bulba; bulbous
bulbo; bulb
buldogo; French bulldog
buldozo; bulldozer
bulea; Boole['s], Boolean, Boole['s], Boole[s]
buleaalgebro; Boolean algebra
buleno; bowline
buleo; papal bull, bull
buleto; pellet, globule, small ball
bulgara; Bulgarian
bulgare; in Bulgarian
bulgario; Bulgaria
bulgaro; Bulgarian <g>pers</g>, Bulgar
bulgarujo; Bulgaria
buljono; bouillon, broth
bulko; bun, roll
bulo; clod, lump, chunk, ball, hunk
bulteno; bulletin
bulvardo; boulevard, avenue
bumerango; boomerang
bumo; boom
bunrako; bunraku
bunta; multicoloured, colourful, variegated, vivid
bunto; mosaic
buo; buoy
burdo; bumblebee
bureo; bourrée
burjata; Buryatian
burjato; Buryat
burjatujo; Buryatia
burleska; burlesque
burleskaĵo; farce
burnuso; burnous
burokrataro; bureaucracy, officialdom
burokratismo; bureaucracy
burokrato; bureaucrat <g>pers</g>
buroo; bureau
burso; purse
burĝa; bourgeois, middle-class
burĝaro; bourgeoisie
burĝo; freeman, citizen, middle-class citizen, bourgeois <g>pers</g>
burĝonbrasiko; Brussels sprout
burĝoni; burgeon, bud
burĝono; bud
bushaltejo; bus stop
buso; bus, omnibus
busprito; bowsprit
busto; bust
butana; Bhutanese
butano; Bhutan
buteo; stop, buzzard
buterigi; churn, butter
buterlakto; buttermilk
butero; butter
buterpano; slice, bread and butter, open-face sandwich
buterujo; butter dish
buterumi; butter
butikisto; retailer <g>pers</g>, merchant <g>pers</g>, shopkeeper <g>pers</g>
butiko; store, shop, boutique
butikumado; shopping
butikumi; go shopping, shop
butlero; butler <g>pers</g>
butoni; button
butono; button
butonumi; button
buŝa; oral, buccal
buŝego; gullet, maw, jaws, mouth, muzzle
buŝelo; bushel
buŝharmoniko; harmonica, harp
buŝo; mouth, muzzle
buŝpleno; mouthful, bite, morsel
buŝtuko; napkin
buŝumo; muzzle
buĉadi; butcher, slaughter
buĉado; slaughter, slaughtering
buĉejo; abattoir, slaughterhouse
buĉi; butcher, slaughter
buĉisto; butcher <g>pers</g>
buĝeta; budgetary
buĝeto; budget
buĥoro; Bukhara, Buxoro
carino; czarina <g>pers</g>
caro; tsar <g>pers</g>, czar <g>pers</g>, csar
cedaĵo; concession
cedema; submissive, amenable, accommodating
cedeme; accommodating
cedemo; accommodation
cedi; concede, budge, give way, give up, give in, relinquish, cede
cedigi; soften up
cedilo; cedilla
cedo; submission, abandonment, concession, cession
cedro; cedar
cefalopodo; cephalopod
cefeo; Cepheus
cejana; cyan
cejano; corn-bottle, cornflower
cekumo; cecum
celaaro; codomain
celado; endeavour
celdisko; target
celebrado; celebration
celebri; celebrate
celerio; celery
celesteno; celestine
celformo; target format
celgrajno; front sight
celi; aim, intend, target
celilo; sight (rear), (rear) sight, gunsight
celkonforma; suitable, expedient
celkonscia; purposeful, determined
cellingvo; object language, target language
celloko; destination
celo; target, aim, goal, purpose, objective
celobjekto; target
celofano; cellophane
celprogramo; object program, target program
celsia; Celsius
celsio; Celsius <g>pers</g>
celtabulo; target
celulito; cellulite
celulozo; cellulose
celumi; aim
cementi; cement
cemento; cement
cendo; cent
censo; census
cent; one hundred, hundred
centa; hundredth
centavo; centavo
centaŭro; Centaurus, centaur
centimetro; centimeter, centimetre
centimo; centime
centjarulo; centenarian
cento; hundred
centono; cent, hundredth
centra; central, centre, center
centraangulo; central angle
centralizi; center, centralise
centralizo; centralisation
centralo; head office, central, exchange, power station, plant
centraprojekcio; central projection
centre; centered
centrejo; centre
centri; centre, center
centrifuga; centrifugal
centrifugaĵo; sediment
centrifugi; separate
centrifugilo; centrifuge
centrisma; centrist
centriĝi; center
centro; centre, center
centrulo; centre
cenzuri; censor
cenzuristo; censor <g>pers</g>
cenzuro; censorship, censor <g>pers</g>
cepo; onion
ceramika; ceramic
ceramikaĵo; ceramic object, ceramic art
ceramiko; pottery, ceramics
cerasto; horned desert viper, saharan horned viper
cerba; cerebral
cerbaĵo; brains
cerbero; Cerberus
cerbeto; cerebellum
cerblaboristo; brain worker <g>pers</g>
cerbo; brain
cerbujo; brainpan, braincase, cranium
cerbumi; rack one's brains, brood, cerebrate, puzzle over, rack ones brains, rack one's brains
cerealo; cereal
ceremonia; ceremonial, stiff, measured, formal
ceremoniaro; ritual
ceremonio; ceremony
cerio; cerium
cerkopitekedoj; old world monkeys
cerkopiteko; meercat
certa; sure, certain, confident, undoubted
certagrade; to a certain degree
certaĵo; certainty
certe; sure, certainly, surely
certeco; assurance, certainty
certege; definitely
certekonverĝa; convergent with probability one, almost surely convergent
certi; assure
certigi; make certain, assure, certify, ensure
certigo; assurance, reassurance
certiĝi; reassure
cerumeno; ear wax
cervido; fawn
cerviko; cervix
cervino; hind
cervo; deer <f>{pl deer}</f>
cervoskarabo; stag beetle
cetera; rest of, additional, remaining
ceteraĵo; remainder
cetere; further, moreover, what's more, besides, additionally, furthermore
cetero; rest, remainder
cezaro; Caesar <g>pers</g>
cezio; cesium, caesium
cezuro; caesura, break, cesura
cia; your
cianido; cyanide
cico; nipple
cicumo; nipple
cidaro; mitre
cidonio; quince
cidro; cider
ciferdisko; dial
cifereca; digital
ciferecigilo; digitizer
ciferfiksa; numlock
cifero; figure, cipher, digit, numeral
ciferplato; dial, clock face, face
ciganino; gypsy
cigano; gypsy <g>pers</g>
cigaredo; cigarette
cigaredpaketo; package
cigaredstumpo; cigarette-butt, stub
cigaringo; cigar holder
cigaro; cigar
cigarujo; cigar box
cigno; swan, Cignus
cikado; cicada, twitching
cikatriĝi; form a scar
cikatro; scar
cikla; cyclical
ciklo; cycle
cikloido; cycloid, common cycloid
ciklono; cyclone
cikonio; stork
cikorio; chicory, Belgian endives (US)
cilindrakoordinato; semi-polar coordinate, cylindrical coordinate
cilindro; cylinder, roller, roll
cilio; cilia
cimbalo; cymbal
cimo; bedbug, bug
cinamo; cinnamon
cinamujo; cinnamon tree
cindramerkredo; Ash Wednesday
cindrigi; incinerate, cremate, char, reduce to ashes
cindrigo; incineration
cindriĝi; incinerate
cindro; ashes, cinders, ash, cinder
cindromerkredo; Ash Wednesday
cindrujo; ashtray
cindrulino; Cinderella <g>pers</g>
cinika; cynical
cinikeco; cynicism
cinikismo; cynicism
cinikulo; cynic <g>pers</g>
cionismo; Zionism
cionisto; Zionist <g>pers</g>
ciono; Zion
cipresacoj; cypress  (family of trees), Cupressaceae
cipreso; cypress
ciprino; carp
ciri; polish
cirila; cyrillic
cirkelo; (pair of) compasses, Circinus, compass
cirkla; circle, circular
cirklego; great circle
cirkli; circle
cirklo; circle
cirko; circus
cirkonferencaangulo; angle at circumference
cirkonferenco; circumference
cirkonstancaro; state of things, conditions, conjuncture, circumstances, situation
cirkonstanco; circumstance
cirkulado; circulation, traffic
cirkulero; circular
cirkuli; be about, circulate
cirkuligi; circulate
cirkuligo; operating
cirkumcidado; circumcision
cirkumcidi; circumcise
cirkumcido; circumcision
cirkumflekso; circumflex
cirkvitkarto; circuit board
cirkvito; circuit
ciro; wax, polish
cirozo; cirrhosis
ciruso; cirrus
cisoido; cissoid
cisterno; tank, cistern, reservoir
citadelo; citadel
citado; quotation
citaro; zither
citaĵo; quotation, quote, citation
citi; cite, quote
citilo; quote, quotation mark, inverted comma
cito; quotation
citro; cither, zither
citronmeliso; lemon balm
citrono; lemon
citronujo; lemon tree
citrusa; citrus
civila; civilian, non-military, civil
civiliza; civilizing, civilised, civilized
civilizacio; civilization, civilisation
civilizado; civilisation, civilization
civilizeco; civilization
civilizi; civilize, civilise
civiliziteco; civilisation
civilizo; civilisation
civilula; civilian
civilulo; civilian <g>pers</g>
civita; municipal, civic
civitanaro; citizenry
civitaneco; citizenship
civitanigi; naturalize
civitano; citizen <g>pers</g>
civitismo; civic virtue, good citizenship
civito; city state, municipality
colo; inch
cunamo; tidal wave, tsunami
da; of <g>{N A}</g>
dadaismo; dadaism
dafno; daphne
dajmono; daemon
daktilarbo; date palm, date
daktilo; date, dactyl
daktilujo; date, date palm
dalajlamao; Dalai Lama <g>pers</g>
dalio; dahlia
dalmatiko; dalmatic
daltonismo; color blindness
damao; fallow deer
damaskeni; damascene
damaski; damask
damasko; Damascus, damask
damaĝi; dent, hurt <f>{past hurt} {perf hurt}</f>, harm, injure, damage
damaĝo; damage, loss
damludo; draught, draughts (brituje), checkers (usone) <g>pers</g>, checkers (usone), draughts (brituje)
damne; sodding, damn
damni; curse, damn
damninda; damned
damno; damnation
damo; dame <g>pers</g>, lady <g>pers</g>
dampi; deaden, muffle, dampen
dampilo; dampener, muffler
dana; Danish
dancado; dance, dancing
dancanto; dancer
dancejo; ballroom, dance hall, dancing hall
danci; dance
dancistino; dancer <g>pers</g>
dancisto; performer, dancer <g>pers</g>
danco; dance
dandi; swagger
dando; fashionista, dandy <g>pers</g>, fop <g>pers</g>, dude <g>pers</g>
dane; in Danish
danio; Denmark
danka; thankful, obliged, grateful
danke; thanks to
dankeco; gratitude, appreciation
dankema; grateful, thankful
dankemeco; gratitude, appreciation, thankfulness
dankemo; thankfulness, gratitude
danki; thank
dankinde; thankfully
dankmono; tip
danko; gratitude, thanks
dankofesto; Thanksgiving Day
danlando; Denmark
dano; Dane <g>pers</g>
danubo; Danube, Danube River
danĝera; dangerous, hazardous, harmful, perilous
danĝere; dangerously
danĝereco; danger
danĝero; danger, peril, jeopardy, hazard
dartro; acne, scurf, tetter
datenaro; database
datenbanko; bank, data bank, database
dateno; datum <f>{pl data}</f>, data
dati; (set a) date, (assign a) date, date (assign a)
dativo; dative
datiĝi; date, date from, begin on
dato; date
datreveno; anniversary
datumamplekso; data range
datumaro; database
datumbaza; database
datumbazo; data base
datumbufra; data buffer
datumi; date
datumo; data, datum <f>{pl data}</f>
datumportilo; data volume, data medium
datumredaktilo; data editor
datumtipo; data type
daturo; jimson weed, thorn apple
dazipo; armadillo
daŭbo; stave, panel
daŭo; boat
daŭra; continuous, lasting, abiding
daŭradi; last, continue, hold <f>{past held} {perf held}</f>
daŭrado; permanence
daŭranta; ongoing, continued, lasting, sustained
daŭraplanto; perennial plant
daŭre; continuously, constantly, continually, kept, continuing, growing
daŭreco; endurance, permanence
daŭrema; permanent
daŭri; persist, abide, continue, endure, last, keep on
daŭrigadi; prolong
daŭrigado; maintenance
daŭrigebla; sustainable
daŭrigi; go on, continue, proceed with, maintain, sustain, keep <g> on</g>, go <g> on</g>
daŭrigo; continuation, sequel, rollover
daŭro; span, duration
daŭropova; sustainable
de; since, of <g>{N A}</g>, from <g>{N A}</g>, by
deadmoni; deter, dissuade from, advise against
debatado; debate
debati; beat off, knock off, debate, beat back
debato; debate
debeti; debit
debeto; debits, debit
debila; feeble, weak, feebleminded
debita; ready
debitejo; retailer, retail store
debiti; sell individually, sell retail, retail
debito; sales turnover, high sales, high demand, product turnover, demand, sale
debitoro; debtor <g>pers</g>, account receivable (US), account receivable (US)
debuta; maiden
debuti; make a debut, debut
debuto; debut
deca; fitting, decent, suitable, proper
dece; properly, decently
dececo; decency, decorum
decembro; December <g>abst</g>
deci; befit, be fitting, appropriate, fit
decida; decisive
decide; decisively
decideco; decision, resolution, firmness, peremptoriness
decidema; decisive, purposeful
decideme; decisively
decidemo; decisiveness, determination
decidi; decide
decidiga; momentous, convincing, decisive
decidige; convincing, persuasively
decidigi; induce
decidiĝi; decide, make up one's mind
decidiĝo; decision-making
decido; decision
decigramo; decigram
decilitro; deciliter, decilitre
decimala; decimal
decimalo; decimal, decimal digit, digit after the radix point
decimetro; decimeter, decimetre
